Key,fr-fr,sv,de,es-es,es-es-female,ru,ru-female,uk,uk-female,zh-hans,ja,pt-br,pt-br-female
dialogue_hobo_text_1a,"Hé mon pote, tu pourrais me filer un peu de monnaie?","Hej kompis, har du några spänn över?","Hey dostum, biraz bozukluk ayırabilir misin?","Oye colega, ¿podrías darme algo de cambio?",,"Эй, дружище, монетку не подкинешь?","Эй, подруга, монетку не подкинешь?","Гей, друже, а кинеш гріш безхатькові?","Гей, красуне, а кинеш гріш безхатькові?",伙计，给点零钱呗。,なぁ、小銭めぐんでくれないか？,"Ei, parceiro, você tem um trocado aí?","Ei, parceira, você tem um trocado aí?"
dialogue_hobo_text_1b,Merci. Que Dieu te bénisse.,Tack. Guds frid.,Sağ ol. Tanrı seni korusun.,Gracias. Dios te lo pague.,,"Спасибо, храни тебя Бог.",,"Дяка, най тебе Господь береже.",,谢谢。上帝保佑你。,ありがとな。神の恵みを。,Eu agradeço. Deus o abençoe.,Eu agradeço. Deus a abençoe.
dialogue_hobo_text_1c,N'importe quoi m'aiderait.,Vad som helst skulle hjälpa.,Her şey yardımcı olur.,Cualquier cosa ayudaría.,,Ничто не пропадёт.,,Я тішуся кожній копійці.,,随便给点吧。,何でも助かるよ。,Qualquer coisa já ajuda.,
dialogue_hobo_text_2a,"Oh, hé hé, désolé. T'aurais un peu de monnaie?","Åh, hej hej, ursäkta. Har du några småpengar över?","Aa, şey, kusura bakma. Biraz bozukluğun var mı?","Ah, oye, perdona. ¿Tienes algo de cambio?",,"О, эй-эй, прости. Есть лишняя монетка?",,"Ох, гей, пробач. Знайдеться монетка?",,噢，那啥，不好意思，你有零钱不？,なぁ、そこのあんた。小銭ねぇか？,"Ah, ei, me desculpe. Você tem um trocado aí?",
dialogue_hobo_text_2b,"Merci, mon ami.",Tack min vän.,Teşekkür ederim dostum.,"Gracias, colega.",,"Спасибо, друг мой.","Спасибо, подруга.","Щиро тобі дякую, друже.","Щиро тобі дякую, кралечко.",谢了，伙计。,ありがとよ。,"Eu agradeço, meu amigo.","Eu agradeço, minha amiga."
dialogue_hobo_text_3a,T'as un dollar?,Har du en spänn?,Bir liran var mı?,¿Me das una moneda?,,Подкинешь бакс?,,Даси монетку?,,你有钱吗？,1ドルくれない？,Tem uma grana aí?,
dialogue_hobo_text_3b,Merci.,Tack.,Teşekkürler.,Gracias,,Благодарю.,,Дякую,,谢了。,ありがとよ。,Valeu,
dialogue_hobo_text_3c,Juste un?,Bara en?,Sadece bir tane?,¿Solo una?,,Всего один?,,Хоч однісіньку?,,就这么点？,1ドルでいいんだ。,Só isso?,
dialogue_hobo_text_4a,J'ai juste besoin d'un peu de monnaie pour le bus.,Jag behöver bara lite pengar till bussen.,Otobüs için biraz bozukluk lazım.,Solo necesito algo de cambio para un autobús.,,Мне на билет немного надо.,,Мені треба кілька монет на автобус.,,我需要零钱坐公交。,バス代が要るんだ。,Só preciso de um troco para o ônibus.,
dialogue_hobo_text_4b,Merci!,Tackar!,Şerefe!,¡Gracias!,,Будь здоров!,Будь здорова!,Слава!,,谢啦！,ありがと！,Valeu!,
dialogue_hobo_text_4c,Mhmm,Mhmm,Mhmm,Mhmm,,Мхм.,,Мгм,,嗯......,ふーん,Mhmm,
dialogue_hobo_text_5a,"Hé, mon pote, t'as un peu de monnaie?","Du polarn, har du några småpengar över?","Hey dostum, biraz bozukluğun var mı?","Oye amigo, ¿tienes algo de cambio?",,"Эй, приятель, дашь монетку?","Эй, милая, дашь монетку?","Гей, чоловіче, знайдеться копійка?","Гей, панночко, знайдеться копійка?",嗨，伙计，你有零钱不？,そこのあんた、小銭ない？,"Ei, irmão, tem um trocado aí?","Ei, irmã, tem um trocado aí?"
dialogue_hobo_text_5b,J'apprécie.,Det uppskattas.,Sağ olasın.,Te lo agradezco,,Моё почтение.,,Подякував,,多谢。,感謝するよ。,Eu agradeço,
dialogue_hobo_text_5c,La prochaine fois hein?,nästa gång va?,Bir dahaki sefere ha?,"La próxima vez, ¿eh?",,"В другой раз, да?",,"Іншим разом, еге ж?",,下次一定，好吧？,次は頼むぜ？,"da próxima vez, né?",
dialogue_hobo_poor,"Wow, t'es encore plus mal en point que moi.","Wow, du har det ju värre än jag.","Vay, senden bile daha kötü durumdayım.","Vaya, estás aún peor que yo.",,"Вау, да у тебя дела ещё хуже, чем у меня.",,"Ого, твої кишені пустіші за мої.",,哇，你比我还惨啊。,何だ、俺よりひでぇじゃねえか。,"Nossa, você está pior do que eu.",
dialogue_dennis_intro,"Hé! Quoi de neuf, frère? Content de voir un autre road tripeur sur la route. Tu vas où?",Hej dude! Vad händer? Kul att se en till roadtripper ute på vägarna. Var är du på väg?,Hey! Naber dostum? Yolda bir yol gezgini daha görmek güzel. Nereye gidiyorsun?,"¡Hola! ¿Qué tal, tronco? Me alegra ver a otro compañero de ruta por aquí. ¿A dónde vas?",,"Эй! Чё как, чувак? Всегда рад встретить другого дорожного скитальца. Куда, как говорится, путь держишь?","Эй! Чё как, чувиха? Всегда рад встретить других дорожных скитальцев. Куда, как говорится, путь держишь?","Гей! Як воно, чуваче? Приємно зустріти ще одного подорожнього на шляху. Куди прямуєш?","Гей! Як воно, чу... о, панночко? Приємно зустріти ще одну подорожню на шляху. Куди прямуєш?",嗨！你好吗？真高兴能遇到别的公路旅行者。你要去哪儿？,やあ！調子はどう？こういう場所で他の旅行者に会えてうれしいよ。どこに行くんだい？,"Ei! E aí, cara! É bom ver outro companheiro viajante aqui na estrada. Para onde você vai?","Ei! E aí, garota! É bom ver outra companheira viajante aqui na estrada. Para onde você vai?"
dialogue_dennis_festival,"Je commence à être un peu trop vieux pour les festivals, le camping, les coups d'un soir et me saouler jusqu'à l'oubli, mais je suis tellement content de l'avoir fait dans le passé.","Jag börjar bli lite för gammal för festivaler, camping, engångsligg och supa skallen av sig, men jag är så glad att jag gjorde det när jag var yngre.","Festivaller, tek gecelik kamplar ve kendimi sızana kadar içmek için biraz yaşlandım ama geçmişte yaptığım için çok mutluyum.","Me estoy haciendo mayor para los festivales, las acampadas, los ligues de una noche y beber hasta perder el sentido, pero me alegra haberlo hecho en el pasado.",,"Я уже слишком стар, чтобы тусить на фестивалях, в палатках трахаться, да заливаться до беспамятства. Но я рад, что это делал.",,"Я вже надто старий, щоб зависати на фестивалях, ночувати в наметах, трахатися з першими ліпшими й заливати очі до чортиків. Але тішуся, що робив це в минулому.",,我年纪大了，已经不适合去音乐节，吃不消露营和一夜情，不敢喝得酩酊大醉了。但我很庆幸我以前疯玩过。,フェスとか、キャンプで一夜限りの関係とか、酔いつぶれるまで飲むとか、そういうのをやるには、もう年を取りすぎた。でも、昔それをやって本当によかったと思ってる。,"Estou ficando velho demais para esses festivais, acampando pela noite e bebendo até esquecer quem eu sou, mas fico feliz por ter feito isso no passado.",
dialogue_dennis_race,"Content de te revoir! Tu tiens le coup? J'ai vu passer des dragsters de malade, je sais pas trop où ils vont. J'aimerais bien voir des courses ou peut-être filer un coup de main comme Mécano.","Gött att se dig igen! Hur är det med dig? Jag har sett en del schyssta raggarsläp dra förbi, inte helt säker på var de är på väg dock. Skulle va kul att se några rejs eller hjälpa till att mecka lite. ","Tekrar görmek güzel! Nasıl gidiyor? Bazı acayip drag araçları gördüm, nereye gittiklerini bilmiyorum. Yarış izlemek ya da mekanik olarak yardım etmek isterdim.","¡Me alegro de volver a verte! ¿Cómo lo llevas? He visto pasar algunos dragsters increíbles, pero no sé a dónde van. Me encantaría ver unas carreras o quizá ayudar como mecánico.",,"Рад нашей новой встрече! Как держишься? Мимо меня тут адовые драгстеры промчали. Интересно, куда. С удовольствием бы гонку посмотрел, а то и помог бы в качестве механа.",,"Радий тебе бачити! Як дорога, тримаєшся? Я бачив кілька шикарних драгстерів, проїжджали повз, але не знаю куди. Залюбки б зараз глянув якісь перегони, чи навіть попрацював там механіком.",,又见面了，真好！你最近怎么样？我看到几个酷毙了的家伙飙车经过，也不知道他们要去哪儿。我想看看赛车，或者当机械师帮帮忙也行。,また会えてうれしいぜ！元気にしてるか？行き先はわからないが、ドラッグレース仕様のすごい車が何台も通ってるんだ。レース観戦もいいが、メカニックとして手伝うのも面白そうだ。,"É bom vê-lo novamente! Como você está? Vi alguns dragsters do caramba de passagem, mas não faço ideia para onde estão indo. Adoraria assistir algumas corridas, ou quem sabe, ajudar sendo um Mecânico.","É bom vê-la novamente! Como você está? Vi alguns dragsters do caramba de passagem, mas não faço ideia para onde estão indo. Adoraria assistir algumas corridas, ou quem sabe, ajudar sendo um Mecânico."
dialogue_dennis_rehab,"Oh merde, salut frère! Je viens de me réveiller d'une sieste. Faut prendre des pauses, oublis pas. Une fois, j'étais en tournée. Je prenais toutes ces drogues pour rester éveillé et, tu sais, on peut pas tenir comme ça. J'ai dû aller en clinique. Repos.","Åh shit! Hej kompis! Jag vaknade precis efter en nap. Man måste pausa ibland, kom ihåg det. Jag var på turné en gång, tog massa uppåt-grejer för att hålla mig vaken, du vet. Man kan bara inte hålla på så. Blev tvungen att checka in på en klinik. Vila. ","Vay lan! Hey dostum! Az önce kestiriyordum. Mola vermek lazım, unutma. Bir zamanlar turnede üstüne üstlük uyarıcılar alıyordum uyanık kalmak için—sürdürülebilir değil. Kliniğe yatmam gerekti. Dinlen.","¡Aish, mierda! ¡Hola, chaval! Me acabo de levantar de la siesta. Nunca olvides tomarte unos merecidos descansos. Una vez estuve de gira. Estaba tomando todos esos estimulantes solo para mantenerme despierto y, ya sabes, no puedes seguir así para siempre. Tuve que ingresarme en una clínica. Ahora descanso.","¡Aish, mierda! ¡Hola, colegui! Me acabo de levantar de la siesta. Nunca olvides tomarte unos merecidos descansos. Una vez estuve de gira. Estaba tomando todos esos estimulantes solo para mantenerme despierto y, ya sabes, no puedes seguir así para siempre. Tuve que ingresarme en una clínica. Ahora descanso.","Вот дерьмо! Эй, приятель! Я только глаза продрал, кемарил. Надо отдыхать, запомни это. А лучше запиши. Я был в этом, турне... жрал спиды, как не в себя, чтоб не спать и, ну ты понимаешь! Пришлось в больничку залететь. Отоспаться.","Вот дерьмо! Эй, чувиха! Я только глаза продрал, кемарил. Надо отдыхать, запомни это. А лучше запиши. Я был в этом, турне... жрал спиды, как не в себя, чтоб не спать и, ну ты понимаешь! Пришлось в больничку залететь. Отоспаться.","О, бляха, салют, чоловіче! Щойно очі продер. Треба відпочивати, запам'ятай це. Якось подавсь у гастролі, жер стимулятори жменями, щоб не заспати. Ну і, знаєш, довго так не стягнув. Довелося загриміти в клініку, чуть відлежатися.","О, бляха, салют, панночко! Щойно очі продер. Треба відпочивати, запам'ятай це. Якось подавсь у гастролі, жер стимулятори жменями, щоб не заспати. Ну і, знаєш, довго так не стягнув. Довелося загриміти в клініку, чуть відлежатися.",哎呀，伙计，我刚午睡醒来！跟你说，休息可重要了。想当年我有一次巡演，全程都靠各种兴奋剂提神。你说这身体哪扛得住啊？结果我只能住院疗养。,うわ、お前か！ちょっと昼寝してた。休憩は大事だぞ、覚えておけ。前にツアーに出てたことがあって、そのときは無理やり起きてるためにずっとハイになってたんだ。続けられるもんじゃなくて、結局入院する羽目になった。お前もきちんと休むことだ。,"Ah, caramba, e aí, parceiro! Acabei de acordar da soneca. Precisa pisar no freio, se lembre disso. Uma vez, eu estive em turnê. Eu estava tomando todo bagulho pra ficar acordado e, você sabe, não dá pra continuar assim. Precisei entrar em uma clínica. Para descansar","Ah, caramba, e aí, parceira! Acabei de acordar da soneca. Precisa pisar no freio, se lembre disso. Uma vez, eu estive em turnê. Eu estava tomando todo bagulho pra ficar acordado e, você sabe, não dá pra continuar assim. Precisei entrar em uma clínica. Para descansar"
dialogue_dennis_party,"Hé! Content de te voir! Je suis passé devant une teuf complètement dingue là-haut dans les collines! C'était super bizarre, tout était hyper calme puis d'un coup, BAM! La teuf! Un mec nu qui grimpe à un arbre et des filles qui sniffent de la coke dans un jacuzzi en plein air. C'était fun, haha!","Heej! Kul att se dig! Jag körde förbi en sjuk jävla fest uppe i bergen. Riktigt konstigt, det va dödstyst och sen ba. BAM! Fest! Nån naken kille som klättrade i träd, tjejer i bubbelpoolen som drog linor. Kul grejer hahah","Heey! Görmek güzel! Tepelerde acayip bir parti gördüm! Tuhaf, önce sessizlik sonra BAM! Parti! Ağaçta tırmanan çıplak bir adam ve açık hava jakuzisinde kokain çeken kızlar. Eğlenceli şeyler hahah","¡Eeey! ¡Me alegro de verte! Pasé en coche por una fiesta jodidamente loca allá en las colinas. Fue rarísimo... estaba todo muerto y de repente ¡PUM! ¡Fiesta! Un tipo desnudo trepando a un árbol y unas chicas metiéndose coca en un jacuzzi al aire libre. Cosas de locos ja, ja, ja.","¡Eeey! ¡Me alegro de verte! Pasé en coche por una fiesta jodidamente loca allá en las colinas. Fue rarísimo... todo estaba muertísimo y de repente... ¡PUM! ¡Fiesta! Un tipo desnudo trepando a un árbol y unas chicas metiéndose coca en un jacuzzi al aire libre. Unas cosas que si no las vives no te las crees ja, ja, ja.","Эээй! Ништяк встреча! Я тут давеча проехал мимо охренительно развратной тусовки в холмах! Странно так, вроде бы ехал в тишине, и тут - БАМ! Туса! Голый мужик лезет на дерево, полуголые девки кокс засасывают в открытом джакузи. Весело, короче, ха-ха!",,"Гееей! Оце так зустріч! Чуєш, я був проїхав повз якусь до біса шалену вечірку на узгір'ї! Так дивно, наче все було тихо, аж раптом - БАМ! Тусовка! Голий хлоп дереться на дерево, а дівки затягують кокс у джакузі просто неба. Весело, бляха! Ха! ха.",,嗨！很高兴见到你！我开车路过了山里一个特疯狂的派对！说起来真诡异，一开始鸦雀无声，然后砰！派对开始！有个家伙赤条条地爬树，还有几个女孩在户外按摩浴缸里嗨粉！真有意思！哈哈哈。,よう！また会えたな！さっき丘の上を通ったんだが、めちゃくちゃクレイジーなパーティーをやってたぞ！おかしなことに、最初は静まりかえってたのに、いきなりドカン！でパーティーが始まったんだ。裸の男が木に登るわ、女の子たちが露天ジャグジーでコカインやるわで大盛り上がりだったぞ。あっはっは。,"E aaaí! É bom ver você! Passei por uma festa do caralho lá em cima, no morro! Tão estranho, estava tudo em silêncio absoluto e, do nada. TÁU! Festa! Um cara pelado escalando uma árvore e algumas garotas cheirando cocaína em uma jacuzzi externa. O negócio foi bom demais hahah",
dialogue_dennis_inheritance,"Hé! Comment ça se passe? Ça fait un bail. Je sais pas, mec, je réfléchis à peut-être m'installer quelque part. Mon grand-père a acheté un terrain près de la côte et peut-être que je devrais juste, genre, construire une maison là-bas ou un truc comme ça. Je sais pas trop.","Hej! Hur är läget? Det var ett tag sen. Jag vet inte grabben, jag funderar på att stadga mig lite kanske. Min morfar har köpt lite mark ute vid kusten och jag kanske bara borde, typ, bygga ett hus där. Jag vet inte","Hey! Nasılsın? Uzun zaman oldu. Bilmiyorum dostum, yerleşmeyi düşünüyorum galiba. Dedem sahilde bir arazi aldı; belki oraya bir ev yaparım falan. Bilmiyorum.","¡Ey! ¿Qué tal todo? Ya llovió desde la última vez. No sé, tío, he estado pensando en sentar cabeza. Mi abuelo compró unos terrenos en la costa y quizá debería construir una casa allí o algo así. Aún no me he decidido.","¡Ey! ¿Qué tal todo? Ya llovió desde la última vez. No sé, tía, he estado pensando en sentar cabeza. Mi abuelo compró unos terrenos en la costa y quizá debería construir una casa allí o algo así. Aún no sé.","Йо! Как делишки? Давненько не виделись. Не знаю, чувак, я вот всё раздумываю не пора ли остепениться. Дедуля купил участок на побережье, может и домик там отгрохать, типа, поселиться и вот этой всё. Я хз.","Йо! Как делишки? Давненько не виделись. Не знаю, чувиха, я вот всё раздумываю не пора ли остепениться. Дедуля купил участок на побережье, может и домик там отгрохать, типа, поселиться и вот этой всё. Я хз.","Гей! Як воно? Давно не бачилися. Знаєш, чуваче, я тут собі думав - може час вже схаменутися й осісти. Мій дідусь має ділянку десь на узбережжі. Може мені варто, не знаю, збудувати там хату абощо. Не знаю.","Гей! Як воно? Давно не бачилися. Знаєш, панночко, я тут собі думав - може час вже схаменутися й осісти. Мій дідусь має ділянку десь на узбережжі. Може мені варто, не знаю, збудувати там хату абощо. Не знаю.",嗨！你好吗？好久不见。伙计，我最近有点迷茫。我觉得我可能该停下来安个家。我爷爷在海岸边买了几块地，也许我该过去修个房子啥的。唉，我真不知道该怎么办。,よう！元気にしてるか？久しぶりだな。最近ちょっと、そろそろ落ち着くのもアリかと思っててな。じいさんが買った海沿いの土地があるから、そこにその、家でも建てようかとか思ってるんだよ。ま、決めたわけじゃないんだが。,"E aí! Como estão as coisas? Já faz um tempo. Eu sei lá, cara, venho pensando sobre sossegar o facho. O meu avô comprou uma terra lá pela costa e talvez eu devesse, tipo, construir uma casa lá ou coisa assim. Sei lá.","E aí! Como estão as coisas? Já faz um tempo. Eu sei lá, garota, venho pensando sobre sossegar o facho. O meu avô comprou uma terra lá pela costa e talvez eu devesse, tipo, construir uma casa lá ou coisa assim. Sei lá."
dialogue_dennis_lose,"Salut! Toujours content de voir mon road tripeur préféré. J'espère que tu finiras jamais bien rangé. Ouais, t'auras de l'argent et des fringues propres. Mais putain, on a besoin de gens comme toi.","Vad händer! Alltid kul att se dig roadtripparn'. Hoppas att du aldrig fastnar på den 'rätta' vägen. Jo, visst, du kommer ha pengar, och rena kläder. Men fan, vi behöver mer folk som du. ","Naber! Yol gezgini dostumu görmek her zaman güzel. Umarım düzene hiç girmezsin. Evet, paran ve temiz kıyafetlerin olur ama lan, bize senin gibiler lazım.","¡Qué pasa! Siempre me alegra ver a otro alma de carretera. Espero que nunca termines llevando una vida demasiado correcta. O sea, entiéndeme, tendrías dinero y ropa limpia. Pero, joder, necesitamos gente como tú.","¡Qué pasa! Siempre me alegra ver a otra alma de carretera. Espero que nunca termines llevando una vida demasiado correcta. O sea, entiéndeme, tendrías dinero y ropa limpia. Pero, joder, necesitamos gente como tú.","Как оно? Всегда рад встретить братанов по рулевому колесу. Надеюсь, ты никогда не свернёшь на ровную дорожку. Ну да, будут деньги и чистые шмотки. Но, чёрт, чувак, нам нужны такие, как ты.","Как оно? Всегда рад встретить сеструху по рулевому колесу. Надеюсь, ты никогда не свернёшь на ровную дорожку. Ну да, будут деньги и чистые шмотки. Но, чёрт, чувак, нам нужны такие, как ты.","Здоров! Завжди круто зустріти подорожнього. Сподіваюся, ти не звернеш на праведний шлях. Авжеж, у тебе з'являться гроші й чистий одяг - але, хай йому грець, нам потрібні такі, як ти.","Здоров! Завжди круто зустріти подорожню. Сподіваюся, ти не звернеш на праведний шлях. Авжеж, у тебе з'являться гроші й чистий одяг - але, хай йому грець, нам потрібні такі, як ти.",你好吗！见到你总是很高兴，公路旅行同好。希望你永远不会成为循规蹈矩的人。当然，如果安分守己，你会有钱和干净的衣服。可是伙计，这个世界真的很需要你这样的人。,元気か？ドライブ旅行仲間には何度会っても嬉しいもんだな。頼むから、まともで堅苦しい人生なんて歩まないでくれよ。いや、たしかにそういう生き方なら金も手に入るし、小綺麗な格好もできるだろうさ。けどな、世の中にはマジでお前みたいな人間が必要なんだ。,"Qual é a boa?! Fico sempre feliz em ver meu parceiro viajante. Espero que você nunca acabe no caminho certo. Tipo, claro, você vai ter roupas limpas e grana. Mas tipo, porra, precisamos de pessoas igual a você, cara.","Qual é a boa?! Fico sempre feliz em ver minha parceira viajante. Espero que você nunca acabe no caminho certo. Tipo, claro, você vai ter roupas limpas e grana. Mas tipo, porra, precisamos de pessoas igual a você, mulher."
dialogue_dennis_jail,"Héé! Viens là! J'espère que ça va. T'as l'air un peu maigre! N'oublie pas de t'étirer et de bien manger. Je te montrerai des exercices que j'ai appris en taule un jour. Haha! Ouais, je me suis fait arrêter y'a quelque temps pour possession. C'est la vie. Faut juste faire avec.","Haallå! Kom hit! Hoppas du mår bra. Ser lite tunn ut! Kom ihåg att stretcha och äta ordentligt. Jag ska visa några övningar som jag lärde mig i fängelset nån gång. Haha! Aa, jag blev tagen för innehav för ett tag sen. Shit happens. Livet går vidare.","Heeey! Buraya gel! İyi olduğunu umarım. Biraz zayıflamışsın! Esnemeyi ve iyi beslenmeyi unutma. Hapiste öğrendiğim birkaç egzersizi sonra gösteririm. Haha! Evet, bir süre önce bulundurmadan tutuklandım. Olur böyle şeyler. Akışına bırakacaksın.","¡Heeey! ¡Ven aquí! Espero que estés bien. ¡Estás en los huesos! No olvides hacer estiramientos y comer bien. Algún día te enseñaré unos ejercicios que aprendí en la cárcel. ¡Ja, ja! Sí, me arrestaron hace un tiempo por posesión ilegal. Cosas que pasan. Solo queda seguir adelante.",,"Эээй! Подойди! Надеюсь, ты в норме. Выглядишь худым! Не забывай разминаться и хорошо кушать. Как-нибудь покажу несколько упражнений, выучил их в кутузке. Ха-ха! Да, меня как-то приняли за хранение. Дерьмо случается. Нужно переступить и топать дальше.","Эээй! Подойди! Надеюсь, ты в норме. Выглядишь худой! Не забывай разминаться и хорошо кушать. Как-нибудь покажу несколько упражнений, выучил их в кутузке. Ха-ха! Да, меня как-то приняли за хранение. Дерьмо случается. Нужно переступить и топать дальше.","Здоро-о-ов! Йди-но сюди! Сподіваюся, ти в нормі. Хоча з виду - здохля. Їж нормально, розминайся. Я покажу тобі кілька вправ, яким навчився в каталажці. Ха-ха! Та, мене якось арештували за зберігання. Лайно трапляється. Його просто тре переступити.",,嗨！来来来！但愿你一切都好。你好像瘦了点啊！别忘了放轻松、吃好饭。有空我教你几招我在牢里学的锻炼动作。哈哈！对，我之前因为持有违禁品被抓了。人生难免破事，你得学会随遇而安。,おーい！こっち来いよ！元気にしてたか？ちょっと痩せたんじゃないか？ちゃんとストレッチして、飯もしっかり食えよ。今度、ムショ仕込みのエクササイズを教えてやるよ、ハハ！前にドラッグの不法所持で捕まってな。まあ、そういうこともあるさ。人生は流れに身を任せるしかない。,"E aaaí! Cola aqui! Espero que esteja bem. Está bem magrinho! Não se esqueça de se alongar e comer bem. Vou te ensinar alguns exercícios que aprendi na prisão algum dia. Haha! Pois é, fui preso por posse de drogas. Acontece. Só precisa aceitar e seguir em frente.","E aaaí! Cola aqui! Espero que esteja bem. Está bem magrinha! Não se esqueça de se alongar e comer bem. Vou te ensinar alguns exercícios que aprendi na prisão algum dia. Haha! Pois é, fui preso por posse de drogas. Acontece. Só precisa aceitar e seguir em frente."
dialogue_dennis_phone,"Ouais! Toi aussi t'es là! J'étais coincé un moment après que le van soit tombée en panne. J'ai dû appeler mon père pour qu'il vienne m'aider. Mais c'était plutôt sympa en fait. On l'a réparée, regardé du hockey et je suis reparti sur la route.","Yesss! Du är här! Jag var faktiskt fast ett tag efter att min van la av. Va tvungen att ringa farsan som fick komma och hjälpa mig. Men det va faktiskt rätt trevligt. Vi fixade upp henne, kollade lite hockey och sen drog jag ut på vägarna igen.","Evettt! Sen de buradasın! Minibüs bozulunca bir süre mahsur kaldım. Babamı aradım yardım için. Aslında güzeldi. Onardık, biraz hokey izledik ve tekrar yola çıktım.","¡Siiii! ¡Tú también estás aquí! En realidad estuve varada una temporada porque la furgoneta se averió. Tuve que llamar a mi padre para que viniera a ayudarme. Pero en realidad estuvo bastante bien. La arreglamos juntos, vimos un poco de hockey y luego volví a saltar a la carretera.",,"Даа! И ты здесь! Я, кстати, застрял было - бусик мой сломался. Пришлось отцу звонить, чтобы приехал и помог. Получилось даже прикольно: подшаманили колымагу, посмотрели хоккей - и я вернулся на дорогу.",,"Тааак! І ти тут! Якщо чесно, я нормально так простирчав на узбіччі, коли мій бусик зламався. Довелося батькові дзвонити. Але було кльово. Ми відремонтували тачку, подивилися хокей, а потім я вернуся на дорогу.",,好极了！你也在这儿！之前面包车抛锚，我在路上困了一阵，最后只能打电话找我爸过来帮忙。不过那次体验还是挺不错的。我们一起修好车，看了会儿冰球，然后我又上路了。,何だよ！お前もここにいのか！実はバンが故障しちまって、ちょっと前まで立ち往生してたんだ。結局、親父に電話して助けに来てもらう羽目になったんだが、まあ、意外と悪くなかった。一緒にバンを修理してホッケーを観て、それから俺だけ旅に戻ったってわけだ。,"Isso! Você está aqui também! Fiquei preso por um tempo depois que a van quebrou. Precisei ligar para o meu Pai para me ajudar. Mas na verdade, foi bem legal. Nós a consertamos, assistimos uma partida de hóquei e eu voltei para a estrada.",
dialogue_dennis_mountain,"J'arrive pas à croire qu'on se croise toujours comme ça! Tu seras toujours bienvenue pour traîner avec moi. Tu sais ça, hein? Je sais, je sais, t'as plein de trucs à faire. Mais oublie pas de te poser un peu et de profiter de la nature. Si tu peux, va au sommet de la montagne. C'est magnifique.","Fan va vi springer in i varandra! Du får alltid hänga med mig. Du vet det va? Jag vet, jag vet, du är upptagen. Men glöm inte att ta det lugnt och uppskatta naturen också. Gå upp till bergstoppen om du har chansen. Det är väldigt vackert.","İnanamıyorum, yine karşılaşıyoruz! Benimle takılmaya her zaman hoş geldin. Biliyorsun değil mi? Biliyorum yoğunsun ama sakin olmayı ve doğanın tadını çıkarmayı unutma. Fırsat olursa dağın zirvesine çık. Çok güzel.","¡No me puedo creer que sigamos encontrándonos así! Sabes que siempre eres bienvenido a pasar el rato conmigo, ¿verdad? Lo sé, lo sé, estás ocupado. Pero no olvides tomártelo con calma y disfrutar de la naturaleza. Si tienes la oportunidad, sube a la cima de la montaña. Las vistas valen la pena.","¡No me puedo creer que sigamos encontrándonos así! Sabes que siempre eres bienvenida a pasar el rato conmigo, ¿verdad? Lo sé, lo sé, estás ocupada. Pero no olvides tomártelo con calma y disfrutar de la naturaleza. Si tienes la oportunidad, sube a la cima de la montaña. Las vistas valen la pena.","Офигеть, как часто наши дорожки пересекаются! Я всегда рад твоей компании, ты же знаешь, правда? Ладно-ладно, понимаю, ты весь в делах. Но не забывай иногда расслабляться и наслаждаться природой. Взберись на вершину при случае. Там очень красиво.","Офигеть, как часто наши дорожки пересекаются! Я всегда рад твоей компании, ты же знаешь, правда? Ладно-ладно, понимаю, ты вся в делах. Но не забывай иногда расслабляться и наслаждаться природой. Взберись на вершину при случае. Там очень красиво.","Аж не віриться, що ми постійно натрапляємо одне на одного! Я завжди радий твоїй компанії. Ти ж в курсі, еге ж? Знаю, знаю, у тебе безліч справ. Але хоч іноді видихай і насолоджуйся природою. Видерися на вершину гори, якщо випаде нагода. Там краса неймовірна.",,奇了，你我还真有缘啊！你随时都能来找我玩。我很欢迎你，知道吗？对对对，我知道你很忙。再忙也别忘了放松心情，享受大自然。有机会去山顶看看吧，风景可美了。,ほんと、信じられないぐらいよくバッタリ会うな！本当ならのんびり世間話でもしたいところだが、お前が忙しいのはわかってるよ。でもな、無理しないで自然を楽しむのも大事だぞ。時間があれば山の頂上まで行ってみな。絶景をおがめるぞ。,"Não consigo acreditar que continuamos nos trombando assim! Você sempre será bem-vindo pra dar uma descansada comigo. Está ligado nisso, não é? Eu sei, eu sei, você está ocupado. Mas não se esqueça de pegar leve e desfrutar a natureza. Vá ao pico da montanha se a oportunidade pintar. É lindo.","Não consigo acreditar que continuamos nos trombando assim! Você sempre será bem-vinda pra dar uma descansada comigo. Está ligada nisso, não é? Eu sei, eu sei, você está ocupada. Mas não se esqueça de pegar leve e desfrutar a natureza. Vá ao pico da montanha se a oportunidade pintar. É lindo."
